year,price,mileage
2023,43.998,18.705
2016,22.5,89.523
2020,33.996,25.647
2020,28.847,71.22
2017,28.632,46.453
2021,30.999,69.209
2021,29.888,40.841
2021,44.725,12.334
2024,44.488,12.777
2022,38.628,31.149
2023,40.488,12.602
2017,15.5,140.968
2021,35.316,28.572
2021,30.792,25.906
2022,37.499,20.594
2012,13.591,142.177
2017,18.447,137.368
2023,52,34.245
2019,24.988,72.435
2014,15.888,116.046
2019,23.425,94.106
2021,28.386,54.078
2021,33.995,30.233
2020,33.991,33.612
2020,27.799,87.34
2018,21.999,97.573
2022,32.992,60.671
2021,25.978,83.39
2017,20.895,109.146
2022,35.985,66.768
2022,40.22,13.458
2023,40.567,4.199
2010,12.8,124.81
2022,39.992,27.971
2019,25.486,56.596
2022,32.4,62.178
2022,35.498,52.889
2019,26.495,48.71
2021,38.991,33.532
2022,30.998,5.995
2021,27.455,160.202
2017,26.995,43.674
2023,41.492,25.79
2019,29.188,49.544
2022,38.2,21.685
2014,17.997,110.982
2021,28,43.153
2023,41.888,16.94
2019,24.586,90.845
2017,28.998,59.87
2017,20.25,95.5
2021,41.5,33.5
2022,33.977,67.44
2023,49.994,21.221
2004,10.495,63.751
2018,25.781,58.396
2023,38.488,23.857
2013,14.2,131.76
2023,41.721,14.489
2022,34.995,61.18
2023,36.991,26.555
2024,49.992,0.003
2010,8.999,134.703
2024,49.991,11.455
2023,48.988,9.905
2016,20.256,130.968
2018,27.995,82.52
2021,27.99,64.133
2022,35.512,52.479
2021,21.991,91.331
2023,40.998,26.772
2017,21.289,121.313
2018,25.195,103.805
2021,31.98,61.94
2023,45.885,10.139
2021,33.444,61.746
2017,24.04,109.188
2021,39.765,24.587
2021,28.323,42.516
2008,11.595,109.635
2022,32.793,59.452
2022,34.888,27.062
2022,31.472,43.291
2023,35.998,21.678
2021,36.334,20.103
2010,13.65,114.93
2021,38.991,45.152
2021,40.346,25.063
2021,38.771,34.001
2024,42.788,5.03
2023,41.988,23.006
2021,24.545,177.523
2022,30.205,55.055
2022,36.494,55.223
2019,22.988,132.853
2020,29.995,55.667
2022,32.322,62.519
2022,31.988,65.735
2022,34.998,54.169
2021,27.995,59.568
2022,39.512,51.132
2023,38.352,29.174
2014,18.495,116.401
2017,21.288,92.459
2022,40.96,56.791
2023,53.9,30.158
2018,19.188,123.767
2021,30.491,35.354
2022,34.998,60.448
2023,38.317,13.105
2023,45.288,13.023
2021,30.899,42.319
2018,27.049,29.504
2021,34.488,58.199
2018,28.998,30.756
2021,36.992,24.774
2018,24.644,77.281
2010,14.457,74.311
2022,38.998,34.583
2017,19.947,100.921
2017,25.568,64.402
2018,22.1,81.168
2022,38.888,14.104
2021,34.695,74.178
2023,32.389,21.21
2022,40.999,13.889
2021,43.9,49.689
2017,21.98,101.306
2023,49.904,4.254
2021,29.496,51.259
2020,29.499,59.002
2022,34.811,61.86
2023,39.919,19.122
2023,41.997,7.444
2023,41.877,20.615
2021,30.498,62.333
2022,34.488,57.603
2021,33.993,15.84
2019,23.9,77.345
2021,40.788,27.79
2015,22.995,61.479
2023,34.681,33.85
2020,27.998,65.227
2020,30.695,56.771
2015,18.995,121.215
2021,35.992,43.375
2023,39.995,18.785
2021,33.449,27.221
2015,19.995,92.927
2020,34.495,37.141
2023,38.488,23.099
2022,30.992,59.968
2021,28.392,56.771
2021,35.368,33.564
2019,29.195,63.872
2021,27.751,57.696
2019,27.947,60.927
2021,35.564,64.035
2022,33.888,59.05
2021,35.25,35.318
2023,37.89,20.379
2023,37.495,39.746
2022,34,55.941
2024,41.995,11.319
2021,32.998,62.886
2020,34.999,83.504
2021,28.222,47.815
2019,30.506,39.493
2021,34.995,40.581
2021,43.328,32.701
2021,36.991,38.567
2021,29.991,36.065
2021,32.888,43.575
2018,30.882,59.538
2022,34.994,66.244
2022,35.9,23.833
2021,33.998,68.3
2024,42.998,4.029
2020,29.225,80.754
2015,24.795,24.964
2023,31.099,30.909
2022,29.499,39.969
2022,37.5,37.793
2022,45.389,25.939
2022,34.695,62.18
2020,35.899,49.943
2021,36,65.308
2023,35.506,19.052
2021,36.795,22.621
2019,30.991,46.486
2017,24.979,92.01
2023,53.995,13.378
2019,23.495,70.074
2021,45.795,26.766
2021,33.99,46.715
2005,7.495,135.393
2022,33.7,61.071
2015,16.5,152.935
2023,35.288,27.207
2016,21.911,68.445
2024,45.991,2.664
2014,17.49,136.128
2022,33.995,57.39
2022,34.9,50.168
2021,31.775,61.648
2021,27.888,47.154
2022,37.555,28.494
2022,41.991,23.148
2019,25.83,49.672
2021,32.998,64.736
2023,36.789,41.132
2022,35.991,24.293
2022,32.266,51.754
2021,34.888,35.02
2021,35.9,23.978
2021,35.988,70.771
2022,37.988,17.153
2024,41.995,9.262
2022,30.189,48.306
2023,33.988,36.014
2009,13.778,122.414
2008,8,216.5
2013,14.45,117.148
2023,40.991,6.629
2021,40.805,27.103
2022,39.992,41.91
2021,34,34.02
2022,32.459,48.553
2022,46.588,33.899
2019,27.995,54.891
2022,39.992,38.14
2019,28.497,41.684
2017,21.999,90.5
2021,37.265,41.121
2020,26.602,62.152
2016,20.699,58.994
2022,33.992,41.581
2010,13.999,95.257
2023,40.87,25.177
2018,20.988,106.411
2019,29.991,59.903
2023,35.994,59.709
2022,36.686,19.144
2019,24.499,88.548
2022,35.988,53.925
2022,41.1,31.42
2021,29.195,60.954
2021,38.72,20.148
2017,24.799,59.168
2022,31.494,59.312
2021,33.299,44.615
2019,29.981,49.532
2008,8.15,169.3
2021,35.988,69.246
2023,33.588,37.335
2021,35.215,34.845
2021,30.188,24.005
2015,15.5,115.121
2023,36.988,54.624
2023,32.688,39.635
2012,13.495,149.54
2023,34.495,52.527
2023,41.992,20.362
2021,36.765,35.261
2020,27.888,97.051
2022,45.051,31.85
2018,22.5,121.252
2022,34.988,57.62
2023,38.997,23.879
2018,22.14,105.397
2021,28.62,52.555
2022,31.995,62.276
2023,43.996,14.851
2004,5.799,140
2022,38.588,50.831
2023,44.134,6.5
2022,32.992,55.528
2019,22.945,95.226
2022,31.995,46.529
2021,27.988,46.833
2016,22.248,94.152
2023,44.999,15.698
2021,29.791,55.293
2024,48.988,11.683
2020,30.022,48.881
2023,34.488,25.961
2023,43.492,18.032
2017,24.455,96.782
2024,43.995,5.282
2021,29.8,68.677
2021,36.991,35.183
2023,38.387,20.375
2019,20.9,115.718
2023,50.977,12.277
2023,35.551,51.926
2002,9.995,183.322
2022,30.288,36.279
2020,30.677,58.101
2023,39.59,15.106
2022,32.994,54.449
